text,sentiment
اغلاق جميع فروع سلسله مطاعم بلبن المصريه في السعوديه بعد تسجيل حالات تسمم اعلنت الجهات المعنيه في السعوديه عن اغلاق كافه فروع سلسله مطاعم بلبن المصريه داخل المملكه وذلك علي خلفيه تسجيل حالات تسمم غذاءي بين عدد من الزباءن واكدت الجهات المختصه بدء التحقيقات واستكمال الاجراءات النظاميه لضمان سلامه المستهلكين,neutral
بلبن تم القبض حالات تسمم كثيره بسبب اكل المطاعم المصريه محلات بلبن حسبي الله ونعم الوكيل هل مطعم بلبن يملكه مستثمر مصري,negative
مختصر الموضوع يقولون كثير تسمموا وتضرروا من مطعم بلبن المصري المتعمد لهم وبسبب هالشيء تم اغلاق المطعم بشكل نهاءي من المسءولين يقولون انه توفي صاحبها وعشان كذا وقفوا المطعم نهاءي الله اعلم بلبن,negative
مطعم بلبن المصريه الفسيخي هذا حله,positive
انا مصري مقيم في السعوديه اولا حدث من قبل امام عيني اغلاق مطاعم سعوديه لاصحاب سعوديين لعدم توافر الصحه والنضافه ثانيا مطعم بلبن واحد من الاف المطاعم المصريه ويوجد افضل منه من حيث الاستثمار بكتير وجميعهم شغالين عادي جدا ثالثا فعلا بعض فروع بلبن تحتاج اداره جوده,negative
مطعم بلبن مسوين خصم شوفوا كيف زحمه المناديب,negative
الله لا يسامح كل مصري يغلط في السعوديه ولا يسامح كل سعودي يغلط في مصر والمصريين فتنتكم اعفن من اكل بلبن مطعم قفل لا يعيب الا نفسه يا صغار العقول من الشعبين المسلمين,negative
حنايا لي مترعين للباب التمر الكرغولي علما انهم يمنعون المنتوجات المغربيه في القزاءر و مترعين الباب للمنتوجات المصراويه و احدث نموذج هو مطعم بلبن لي يتزاحمو عليه هركاوا لي قتلهم الجوع,negative
يوتيوبر مصري اكيل يوضح الغش والقذاره في مطاعم بلبن احد عنده عقل وياكل من مطعم مصري اكل قمامي,negative
مصر مشمءز وينتقد مطعم بلبن واتمني قفل الفروع عاجلا بالكويت وزاره التجاره,negative
بعد تسممات سلسله مطاعم بلبن المصريه في السعوديه عدد من السعوديين يحكون تجاربهم مع الاكل المصري قلت لكم ان المطاعم المصريه لا تصلح الا في مصر والهند فقط وذلك بسبب تشابه العادات الغذاءيه ومعايير النظافه في هذين البلدين الشقيقين اما في الدول المتقدمه مثل السعوديه فلا تصلح ابدا,negative
اغلاق جميع فروع سلسله مطاعم بلبن المصريه في السعوديه بسبب حالات تسمم لزباءنه المفروض المطبخ المصري لا يتعدي حدود مصر الا للهند فقط وذلك لتشابه العادات الغذاءيه ومعايير النظافه بين الهنود واحفادهم,negative
تعليقات المصريين علي منشور في الفيزبوك عن اغلاق مطاعم بلبن في السعوديه تقارن بين قوه النظام في السعوديه وعدم تساهله مع مثل هذه الحالات والمحسوبيه والفساد والاهمال التي تعاني منها مصر في كل شيء تقريبا الرد الاخير اللي لونته بالاصفر عجبني كتير,negative
مضارب مابين الجمهور المستهلك وموظفي مطعم بلبن بمصر لسوء منتجاتهم شنو اكثر من هذا بعد,negative
